NTrans,Credit,AvgBal,AgeAccount,NAccounts,NAddress,Fraud,Type
184,468,4032,27,4,2,N,Gov
176,563,3140,20,2,1,N,Pri
232,532,5512,10,2,0,N,Gov
192,541,4372,5,3,1,Y,Pri
250,584,7916,18,1,1,N,Com
199,661,6553,23,3,1,N,Ind
224,739,2923,26,3,1,N,Com
189,693,5621,13,2,1,Y,Com
212,610,5809,7,4,1,N,Pri
191,572,6218,34,2,1,N,Gov
194,643,6080,24,2,1,N,Ind
189,622,7640,8,3,2,N,Pri
171,662,2597,26,3,2,N,Pri
169,726,3461,8,3,2,N,Ind
196,640,1711,27,2,0,N,Pri
162,685,4362,2,3,0,N,Pri
212,458,2880,28,1,1,N,Pri
259,657,3949,27,3,1,N,Pri
180,631,5771,22,2,1,Y,Ind
202,620,3661,16,2,1,N,Pri
197,646,6360,30,1,2,N,Pri
213,583,5298,22,3,1,N,Com
185,563,3823,28,1,0,N,Pri
183,642,4139,21,3,1,N,Pri
177,513,3055,11,3,1,N,Pri
175,660,4166,20,4,1,N,Gov
188,641,2049,18,2,2,N,Pri
188,688,3143,27,4,1,N,Gov
224,675,6721,21,3,1,N,Gov
197,536,2903,18,0,1,N,Gov
181,541,3935,11,4,1,N,Gov
213,528,4244,26,2,2,N,Gov
203,550,5909,18,2,1,N,Ind
216,658,1531,12,2,1,N,Com
229,467,6490,20,3,1,Y,Ind
224,709,6652,4,1,0,N,Pri
212,473,4518,16,3,1,N,Com
217,621,3819,15,3,1,N,Gov
168,747,3110,21,2,1,N,Com
226,586,5988,25,3,1,N,Pri
184,627,6538,19,3,2,N,Gov
253,549,7198,12,3,1,N,Com
231,786,6942,11,2,1,N,Pri
151,556,4224,16,2,1,N,Gov
207,642,4835,18,1,1,N,Pri
253,589,6766,7,3,1,N,Ind
190,589,4736,23,3,1,N,Ind
186,584,700,18,3,1,Y,Pri
239,750,2236,17,2,0,N,Pri
214,714,3545,30,3,1,N,Com
229,684,4615,21,2,0,N,Pri
146,538,7267,29,4,1,N,Com
178,574,6231,10,3,2,N,Pri
208,521,5841,25,3,1,N,Pri
219,380,4212,25,3,1,N,Ind
199,579,3696,1,4,1,N,Ind
209,557,6539,26,2,1,N,Ind
191,363,6380,19,2,1,N,Gov
216,649,3300,23,1,1,N,Pri
242,589,6528,12,0,1,Y,Ind
203,653,5722,24,3,1,N,Com
203,690,4065,21,3,1,N,Com
209,721,6251,9,3,1,N,Com
225,663,4622,20,3,1,Y,Ind
201,517,6466,19,5,1,N,Pri
226,598,4984,22,3,1,Y,Ind
185,597,6439,32,3,1,N,Gov
201,522,4794,21,3,1,N,Ind
189,526,4509,15,3,1,Y,Gov
186,492,5030,18,3,0,N,Ind
200,627,6477,30,3,2,N,Pri
191,657,6243,8,2,1,N,Gov
186,435,6237,5,3,2,N,Com
230,478,5227,30,1,1,Y,Com
226,793,2803,10,2,1,N,Com
240,576,6934,5,3,1,N,Ind
184,637,6024,25,2,0,N,Com
230,617,5617,13,3,1,N,Ind
184,715,4095,24,2,2,N,Ind
170,441,4067,18,1,0,N,Pri
235,814,5417,22,2,0,N,Com
208,722,5400,25,2,0,N,Pri
245,379,5293,8,0,0,N,Pri
205,346,5968,2,2,1,N,Ind
231,588,3336,30,3,1,N,Pri
197,645,3236,24,1,1,Y,Ind
195,704,4791,14,3,1,N,Gov
195,651,5162,17,1,1,Y,Gov
219,585,5530,27,4,0,N,Com
208,514,5060,18,1,1,N,Pri
186,756,5109,33,3,1,N,Gov
201,645,1172,19,2,1,Y,Com
255,616,4635,23,3,0,N,Gov
228,492,3488,11,1,0,N,Gov
191,540,8144,18,3,0,N,Gov
204,640,6246,25,1,1,N,Ind
201,614,5311,13,2,1,N,Pri
204,663,3901,24,1,2,N,Pri
165,636,5165,24,3,1,N,Com
182,649,3535,10,2,1,N,Com
149,532,3664,22,1,2,N,Com
188,713,3628,17,3,1,N,Gov
212,527,4427,12,3,0,N,Ind
221,622,5094,17,3,1,N,Gov
224,618,4800,27,0,1,N,Gov
191,719,5327,22,4,1,N,Pri
195,659,4652,18,0,0,N,Ind
220,725,7229,15,2,1,N,Ind
230,527,6205,17,1,0,Y,Com
162,466,3839,30,4,1,N,Pri
175,631,3830,24,3,1,N,Ind
176,662,5556,30,4,1,N,Pri
232,569,4658,16,2,2,N,Ind
159,530,4526,10,3,0,N,Com
217,671,6566,15,3,0,N,Pri
213,665,2731,25,2,1,N,Com
218,515,5024,20,2,1,N,Gov
189,488,4246,32,4,1,N,Com
219,522,2919,25,2,1,N,Com
231,536,5435,10,2,1,N,Com
225,672,5966,25,2,1,Y,Com
194,570,5514,24,3,1,N,Com
168,670,4103,29,3,1,N,Com
175,505,7610,25,4,1,N,Com
224,961,3885,37,4,1,N,Pri
188,401,3212,25,4,1,Y,Com
250,612,3824,11,1,1,N,Pri
229,640,6883,4,4,0,N,Gov
216,520,6758,17,3,0,N,Ind
221,518,5399,13,3,1,N,Pri
212,698,7471,22,3,0,N,Ind
230,592,6083,27,2,0,N,Gov
230,800,4152,31,1,0,Y,Pri
210,740,6410,30,3,1,N,Com
206,703,7268,15,3,1,N,Gov
231,573,5949,30,0,0,Y,Ind
166,419,5208,16,1,1,N,Ind
208,566,6333,21,2,0,N,Com
196,532,5411,24,4,0,N,Pri
233,723,5892,5,3,0,N,Pri
224,598,4257,22,3,2,N,Pri
190,579,7553,26,1,1,N,Ind
225,586,5457,29,3,0,N,Gov
186,670,6125,8,4,1,N,Gov
181,424,2706,31,2,1,Y,Gov
188,633,5880,20,2,1,N,Ind
215,675,4235,27,3,1,Y,Com
190,401,5274,27,2,2,N,Pri
207,541,3545,34,3,1,N,Gov
176,664,6687,12,3,1,N,Gov
213,671,6101,11,2,1,N,Pri
191,479,5278,27,4,1,N,Ind
165,470,5877,24,3,2,Y,Pri
176,568,4870,16,3,1,N,Pri
160,464,4860,28,3,1,N,Ind
219,396,4449,26,1,1,N,Pri
172,457,2837,18,4,1,Y,Pri
150,606,2907,25,2,1,N,Pri
216,498,4836,13,3,1,N,Com
191,709,5096,27,4,1,N,Com
180,770,3575,36,3,1,Y,Gov
196,604,5121,23,5,1,N,Com
250,621,6411,32,2,1,N,Ind
258,711,6396,7,1,0,Y,Pri
195,476,6660,18,2,1,N,Pri
231,641,4371,25,2,1,N,Ind
211,572,5496,13,2,1,N,Com
181,793,7663,9,4,1,N,Ind
163,559,5285,29,3,1,N,Com
160,371,3072,22,2,1,N,Pri
159,611,5327,27,4,2,N,Ind
176,645,6838,13,4,1,N,Pri
205,600,7970,15,3,1,N,Pri
167,706,7119,22,2,2,N,Ind
197,692,5148,19,3,1,N,Com
189,461,5212,17,2,0,N,Ind
188,533,6246,21,4,1,N,Com
203,464,7143,15,3,0,N,Com
242,737,5152,26,3,0,N,Com
196,478,3563,26,3,1,N,Gov
224,727,5976,22,2,1,N,Ind
222,514,4150,17,3,1,Y,Pri
188,531,4503,21,3,1,N,Com
208,735,3659,24,2,2,N,Pri
235,611,5806,34,2,1,N,Pri
186,728,5027,20,3,1,N,Com
196,674,4921,9,1,1,N,Ind
191,538,6313,-2,3,0,Y,Gov
214,694,4123,39,2,0,N,Ind
207,723,3381,12,3,1,N,Pri
203,537,585,31,2,2,Y,Gov
217,620,6600,6,3,1,Y,Gov
204,756,5870,25,2,1,N,Com
202,633,4947,18,2,1,N,Pri
190,568,6993,9,2,1,N,Ind
215,437,3623,17,3,0,N,Pri
178,784,5176,24,1,1,N,Com
196,702,3518,25,3,1,N,Pri
231,578,5307,31,1,0,N,Pri
199,487,6211,17,4,0,N,Gov
207,615,5084,26,2,1,N,Com
233,721,2830,18,2,1,N,Com
197,569,4439,6,1,1,N,Com
208,608,3978,17,4,0,Y,Gov
198,590,3067,24,2,1,N,Pri
190,706,5386,33,1,1,N,Com
226,586,4921,17,1,0,N,Gov
199,673,5298,19,2,2,N,Com
225,815,6184,25,2,1,Y,Gov
183,772,3133,19,3,0,N,Pri
214,782,5035,24,3,0,N,Pri
228,673,3705,19,1,1,N,Com
216,664,5788,15,2,1,N,Com
177,460,5207,14,3,1,N,Ind
214,653,3578,19,2,2,N,Com
177,558,6134,12,1,1,N,Com
236,601,5157,21,2,2,N,Ind
235,617,7196,17,2,1,N,Pri
217,596,5736,21,4,0,N,Pri
180,654,7339,15,4,1,N,Gov
166,652,1777,17,2,2,N,Ind
234,472,4810,24,2,1,N,Pri
192,541,2040,16,3,1,N,Gov
193,781,4172,26,4,1,N,Ind
173,645,3386,15,4,1,N,Ind
203,489,6240,21,1,2,N,Pri
167,744,4358,4,1,1,N,Ind
204,521,3679,23,2,2,N,Com
195,511,4173,24,2,0,N,Ind
200,518,4811,16,3,1,N,Gov
211,711,5096,26,1,2,N,Pri
165,488,4095,14,2,1,Y,Ind
221,643,5278,18,1,1,N,Gov
162,604,4506,18,1,2,N,Gov
185,606,3938,18,1,1,N,Ind
220,579,3690,10,3,0,N,Ind
209,556,2390,24,1,1,N,Ind
203,590,4009,24,1,0,N,Gov
248,509,2349,24,2,0,Y,Pri
220,663,8292,29,1,2,N,Com
205,642,9431,26,3,1,N,Gov
188,685,5333,18,4,2,N,Gov
248,759,5615,30,1,1,N,Pri
186,664,7846,19,1,1,N,Gov
208,590,3646,18,3,1,N,Com
200,404,6856,19,3,1,N,Com
209,552,5730,21,1,1,Y,Pri
232,623,6442,30,2,0,N,Gov
205,667,6420,12,3,0,N,Gov
200,774,3995,18,2,1,N,Com
166,652,884,21,3,2,N,Gov
177,620,3606,14,2,1,N,Pri
210,503,3933,17,4,1,N,Gov
206,625,3862,11,3,1,N,Ind
187,864,4099,29,4,1,N,Ind
184,405,6477,21,2,1,N,Pri
204,680,5600,29,4,1,N,Ind
203,614,8357,30,3,1,N,Com
220,562,8317,14,1,0,N,Pri
202,357,5292,31,3,1,N,Com
216,510,6894,21,3,1,N,Com
186,558,3494,13,3,2,N,Ind
185,456,3095,18,2,1,N,Com
141,608,5112,16,1,2,N,Ind
175,663,5616,21,2,1,N,Gov
195,525,2599,20,2,1,N,Com
204,747,6177,14,3,1,N,Com
167,662,2292,20,3,2,N,Com
196,497,5700,21,4,1,N,Com
226,599,9540,23,2,2,N,Gov
196,644,4314,17,3,1,N,Gov
233,669,4549,18,3,0,N,Pri
218,496,3542,21,2,1,N,Gov
175,610,842,27,2,1,N,Com
169,610,5329,10,3,1,N,Ind
151,680,4262,38,3,2,N,Pri
207,576,6254,21,4,1,N,Ind
183,688,4613,30,4,1,N,Pri
212,639,6624,15,4,1,N,Pri
161,559,4564,12,4,0,N,Ind
188,643,2795,19,4,1,N,Pri
172,535,5500,32,2,1,N,Pri
175,423,5034,26,2,1,N,Gov
171,577,5987,27,3,0,N,Pri
236,417,7095,27,3,0,N,Pri
204,733,6679,19,4,2,N,Ind
220,804,4135,0,3,2,Y,Pri
245,547,5242,31,1,1,N,Pri
202,542,6734,8,3,1,N,Gov
212,633,4898,18,2,0,Y,Ind
182,593,4183,13,2,1,N,Gov
225,477,4706,13,4,1,Y,Com
166,564,4193,26,1,2,N,Gov
205,569,5315,15,4,1,N,Gov
266,693,5310,5,1,0,N,Ind
210,588,3795,10,1,1,Y,Pri
215,736,2072,23,3,0,N,Ind
203,548,3430,17,3,1,N,Gov
233,646,5570,23,0,1,N,Com
185,636,3256,12,1,1,N,Ind
211,871,3133,15,4,0,N,Pri
200,673,6509,13,3,1,N,Gov
176,637,2449,23,3,1,N,Pri
176,697,6225,21,2,1,N,Com
171,463,1706,11,4,1,Y,Pri
241,768,6179,21,3,1,N,Gov
238,592,5415,12,4,0,N,Com
211,629,6475,20,1,1,N,Gov
185,558,4520,17,4,1,N,Gov
214,663,3272,29,1,1,Y,Com
206,478,3989,10,1,1,N,Pri
148,539,4924,24,2,1,N,Com
165,536,5992,19,3,1,N,Pri
181,554,6313,18,2,2,N,Pri
186,441,2710,23,3,1,N,Pri
176,512,2752,24,3,2,N,Pri
194,663,5905,15,3,2,N,Gov
228,647,4186,17,2,1,N,Pri
193,505,4893,29,3,1,Y,Com
177,518,4814,20,3,1,N,Ind
211,638,3442,19,3,1,N,Ind
219,691,5529,18,3,0,N,Pri
