ParcelNumber,LocationAdress,Acres,Neighborhood,HomesteadExemp,Style,HeatedSqFt,YearBuilt,NumOfBedrooms,NumOfFullBath,NumOfHalfBath,ACC_NumAccs,ACC_TotalValue,Val_2024_CurrentValue
172A4 C002,620   VINE ST  ,0.33,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1326 ,1940,3,2,0,0,0,251415.00
163B3 F017A,120   JONAS AVE  ,0.12,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1776 ,2009,4,4,0,1,166,300000.00
163D4 C001,386   ROSA NELL HOWARD ST  ,0.2,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1206 ,1942,2,1,1,0,0,374150.00
172A3 F006,162   HERRING ST  ,0.31,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1665 ,2005,5,3,0,0,0,394576.00
164C1 B005,145   TRAIL CREEK ST  ,0.4,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1716 ,2019,3,3,1,0,0,380657.00
163D2 G016,367   ROSA NELL HOWARD ST  ,0.24,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1800 ,2005,5,3,0,0,0,405878.00
163B3 C002,145   RUTH ST  ,0.3,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1658 ,1925,4,3,0,1,4046,649018.00
172A3 F012,146   HERRING ST  ,0.3,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2156 ,1920,4,3,0,0,0,365000.00
172A3 F011,150   HERRING ST  ,0.16,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2016 ,2012,4,3,0,0,0,414690.00
172C2 F002,1734  E BROAD ST  ,0.15,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1845 ,1933,4,2,0,0,0,296597.00
163D4 K009E,155   SUMMERWOOD PL  ,0.23,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1216 ,2003,3,2,0,0,0,339180.00
172A1 C013,195   HERMAN ST  ,0.43,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1468 ,1955,4,3,0,0,0,234905.00
172A3 G003,1480  E BROAD ST  ,0.34,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1454 ,2000,3,2,0,0,0,217952.00
164C1 B002,101   TRAIL CREEK ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1612 ,2008,3,2,0,0,0,313921.00
172D1 F001B,350   OLD WINTERVILLE RD  ,0.1,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,2256 ,2005,3,2,1,0,0,382107.00
164C3 G002,387   REAR FIRST ST  ,0.14,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1728 ,2019,4,4,1,0,0,446421.00
172A3 G007E,1458  E BROAD ST  ,0.13,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1844 ,2009,4,3,1,0,0,426966.00
163A4 B007,1016   DR MARTIN LUTHER KING JR PKWY  ,0.13,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2198 ,2010,5,5,0,0,0,456722.00
164C1 B005A,149   TRAIL CREEK ST  ,0.41,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1760 ,2019,3,3,1,1,976,392646.00
163D1 H004,864   DR MARTIN LUTHER KING JR PKWY  ,0.13,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1824 ,2009,4,4,0,0,0,371125.00
172A4 F001,1540  E BROAD ST  ,0.43,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1457 ,1940,3,2,0,0,0,232234.00
172C2 E011A,105   SIMMONS ST  ,0.13,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1760 ,2010,4,3,1,0,0,393618.00
172A2 G007B,250   FAIRVIEW ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1380 ,2006,3,2,0,0,0,325227.00
164C1 C001J,148   TRAIL CREEK ST  ,0.14,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1755 ,2006,4,4,0,0,0,319200.00
163B3 A001A,155   RUTH DR  ,0.31,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1950 ,2014,5,5,0,0,0,442078.00
163D2 D003G,125   FIFTH ST  ,0.14,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1800 ,2005,5,3,0,0,0,390564.00
163D4 K009C,135   SUMMERWOOD PL  ,0.23,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1566 ,2003,3,2,0,0,0,326765.00
163D4 B012,140   GRIFFETH ST  ,0.12,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,962 ,2007,2,1,0,0,0,278939.00
172C2 F001,1738  E BROAD ST  ,0.15,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,840 ,1920,2,1,0,0,0,140002.00
163D2 D003C,120   FIFTH ST  ,0.11,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1800 ,2005,5,3,0,0,0,390564.00
172A2 F002A,370   FAIRVIEW ST  ,0.11,4012R-EAST ATHENS (4012R),Yes (SC),Single Family Residence,1855 ,2009,4,2,0,0,0,245429.00
163D4 K009D,145   SUMMERWOOD PL  ,0.23,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1246 ,2003,2,2,0,0,0,344834.00
163D4 D002A,260   ROSA NELL HOWARD ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,2116 ,2021,4,4,1,0,0,459214.00
172A3 G007C,1462  E BROAD ST  ,0.17,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1748 ,2010,3,3,0,0,0,390516.00
163D1 E004,168   MARLIN ST  ,0.1,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1750 ,2020,4,4,0,0,0,378797.00
163D1 I002A,116   NORTH AVE  ,0.11,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1524 ,2008,5,4,0,0,0,396050.00
172C2 E011,1624  E BROAD ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1471 ,1926,4,4,0,0,0,341376.00
163D1 I002,110   NORTH AVE  ,0.11,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1524 ,2008,5,4,0,0,0,396050.00
163D1 C008B,954   DR MARTIN LUTHER KING JR PKWY  ,0.12,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1518 ,2022,3,3,1,0,0,326280.00
172C2 D006A,223   DERBY ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1862 ,2005,4,3,0,0,0,307719.00
164C1 B002A,416   FIRST ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,2143 ,2013,4,4,0,0,0,426352.00
163D1 G011B,154   STRICKLAND AVE  ,0.12,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1776 ,2009,4,4,0,0,0,362648.00
172A4 B033,275   ARCH ST  ,0.24,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1612 ,2006,4,3,1,0,0,397760.00
172C2 C001,376   ARCH ST  ,0.38,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2898 ,2023,5,4,0,0,0,399000.00
163D4 D006,186   FLINT ST  ,0.37,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,3269 ,2018,5,5,1,0,0,576791.00
172A2 D005A,59   MCKINLEY DR  ,0.13,4012R-EAST ATHENS (4012R),Yes (SC),Single Family Residence,1320 ,2005,3,2,0,0,0,266430.00
172A2 D003A,90   MCKINLEY DR  ,0.23,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,952 ,2000,3,2,0,0,0,206204.00
163D2 E007A,394   FOURTH ST  ,0.26,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,2270 ,2023,5,4,1,0,0,555000.00
163D1 G008,162   STRICKLAND AVE  ,0.24,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2232 ,2020,5,4,1,0,0,443594.00
172C2 C004A,115   ANDERSON ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2072 ,2007,4,3,1,0,0,340427.00
172B3 B004,660   VINE ST  ,0.18,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,693 ,1960,1,1,0,0,0,167624.00
164C4 B011,169   CARVER DR  ,0.28,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1200 ,1950,2,2,0,0,0,132203.00
163D1 G020,234   MADISON HTS  ,0.1,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1824 ,2011,4,4,0,0,0,379592.00
163D4 A007,145   GRIFFETH ST  ,0.21,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,988 ,1935,3,2,0,0,0,318928.00
164C1 C001E,180   TRAIL CREEK ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1311 ,2020,3,2,1,0,0,287276.00
163B3 A003,185   RUTH DR  ,0.23,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,732 ,1950,2,1,0,0,0,206031.00
163B3 A002,175   RUTH DR  ,0.22,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,704 ,1970,2,1,0,0,0,215273.00
164C3 E011,318   FIRST ST  ,0.33,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,588 ,1960,2,1,0,0,0,188078.00
163D1 J002B,225   FOURTH ST  ,0.11,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1464 ,2007,2,2,1,0,0,361280.00
163D2 G019,447   ROSA NELL HOWARD ST  ,0.15,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,2508 ,2022,5,5,1,0,0,281098.00
163D2 G014B,285   ROSA NELL HOWARD ST  ,0.15,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1296 ,2006,3,2,1,0,0,306000.00
163D1 G004,184   STRICKLAND AVE  ,0.25,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1728 ,2017,4,4,0,0,0,381343.00
163D4 J001,241   PEARL ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,2203 ,2013,4,2,0,0,0,540000.00
163D4 D007,132   FLINT ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1672 ,2020,3,3,0,0,0,440393.00
163B3 A005,225   RUTH DR  ,0.25,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2470 ,2014,5,5,0,0,0,502050.00
172A4 E009,248   REAR ARCH ST  ,0.15,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1392 ,1970,4,2,0,0,0,170000.00
172A3 F005A,164   HERRING ST  ,0.28,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1665 ,2005,5,3,0,0,0,386514.00
172A4 B032A,261   ARCH ST  ,0.24,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1942 ,2009,4,4,0,0,0,444828.00
164C3 G001A,157   WATER OAK ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1806 ,2019,4,3,1,0,0,526941.00
164C4 D028,110   BOOKER ST  ,0.22,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,952 ,1955,3,2,0,0,0,204086.00
163B3 A012,978   DR MARTIN LUTHER KING JR PKWY  ,0.23,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1696 ,2007,3,3,0,0,0,312494.00
163D2 D003A,100   FIFTH ST  ,0.1,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1800 ,2005,5,3,0,0,0,390564.00
164C3 G007,443   THIRD ST  ,0.4,4011R-NORTH AVENUE (4011R),Yes (SC),Single Family Residence,1598 ,1900,3,2,0,1,1200,197367.00
164C3 E007,298   FIRST ST  ,0.25,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,936 ,1940,2,1,0,2,5500,178503.00
172A2 H005,138   FAIRVIEW ST  ,0.19,4012R-EAST ATHENS (4012R),Yes (SC),Single Family Residence,1320 ,2003,3,2,0,0,0,314766.00
163B3 A013,974   DR MARTIN LUTHER KING JR PKWY  ,0.23,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1776 ,2009,4,4,0,0,0,621745.00
172C2 H041,481   LITTLE OAK ST  ,0.48,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2855 ,2022,5,3,1,0,0,624433.00
172C2 H032A,110   CARPENTERS CIR  ,0.08,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1056 ,2011,3,1,0,0,0,216900.00
163B3 A005A,215   RUTH DR  ,0.25,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2470 ,2014,5,5,0,0,0,502050.00
