BORROWERID,DEFAULT,LATE,AGE,CREDITSCORE
VX7M44,No,0.70,-0.715,6
V5SQAO,No,0.33,0.161,8.5
20RIUB,No,0.47,0.948,8.4
JJ2HQ1,No,0.46,-0.220,7.8
VHQIH6,Yes,0.77,-1.582,4.8
7I4OH3,No,0.72,0.223,6.7
QGH4WV,No,0.70,1.521,4.8
UDDI45,Yes,0.80,-0.224,3.8
3Q8EL0,Yes,0.58,-0.344,3
BYT9CB,Yes,0.41,1.393,4.3
PPVSDU,No,0.21,-1.429,8.3
Y9XTZI,Yes,0.48,-1.121,5.9
B0S5AV,No,0.44,-1.527,7
8FXKH7,Yes,0.63,1.563,2.8
4ONOWI,No,0.45,0.732,7.5
1ILV6W,No,0.24,-1.057,8.6
C950YS,Yes,0.59,0.902,5.8
H8IYW2,Yes,0.79,-0.030,3.9
K7YI3C,Yes,0.58,0.227,4.1
NZK2PV,Yes,0.39,-1.198,8.1
NSGBAB,Yes,0.56,1.622,5.2
JNB50P,No,0.48,2.908,7.7
EJS664,No,0.28,0.539,6.5
JUD3XW,No,0.28,-1.386,7.6
ORPHV6,No,0.33,0.345,8.3
VUOO9D,Yes,0.42,-0.417,6.9
NHCYRX,Yes,0.58,1.399,1.8
ZNXO5N,No,0.12,0.764,8.3
N2988B,No,0.62,0.083,7.8
UCN3FS,Yes,0.59,-0.177,1.8
HUUI4M,Yes,0.57,-0.591,4.3
76WJJZ,Yes,0.65,1.471,2.1
GOZ2RI,Yes,0.95,0.388,2.2
6CO4M8,Yes,0.67,-0.328,3.1
AIPTEI,Yes,0.58,0.343,5
HSWMU5,No,0.42,0.147,7.9
LH2VH0,Yes,0.39,0.774,1.7
7WHDB4,Yes,0.61,0.438,3.2
MKHIAA,No,0.42,-0.714,7.9
FJ3PR5,Yes,0.55,-0.101,3.4
GRP7P1,Yes,0.64,0.682,3.1
UCUPF6,No,0.23,1.701,8.9
MFMUZH,Yes,0.24,-0.777,4
QN9TQ5,No,0.69,1.963,6.5
J96RO8,Yes,0.84,1.516,3.4
SHNVSL,No,0.23,0.647,8.3
V7Q4B1,Yes,0.67,-1.063,2.6
EU3L9P,Yes,0.67,1.383,3.1
NDSKWS,No,0.24,1.265,7.5
WCD014,No,0.36,1.197,7.7
5K8V9J,No,0.35,-1.364,7.9
ZD2869,No,0.31,0.791,8.6
M10XPJ,No,0.34,-1.455,8.8
RDQ6HE,No,0.34,1.015,8.9
GZHVNU,Yes,0.83,-1.788,4
LFSHBO,No,0.32,-1.520,0
CQ1MRG,Yes,0.60,-1.207,6.5
XNNPVA,Yes,0.40,0.398,2.1
1XS0BL,No,0.65,-0.176,5.8
FIQ3X2,No,0.13,0.592,7.7
9BDXUB,No,0.17,0.886,7.9
C9OSV1,No,0.78,-0.521,4.9
R8CPXO,No,0.25,-2.566,8.8
E4JH1U,Yes,0.61,0.043,3.9
7K7Q0H,No,0.25,1.720,8.3
3L51EG,No,0.73,-0.056,7.1
KMYDBU,Yes,0.58,-0.709,5.9
JRFT86J,No,0.40,0.949,6.2
YQNWQJ,No,0.68,0.884,5.8
2PFTDY,Yes,0.60,1.618,5.2
5MYSCE,No,0.39,-0.276,8.3
38CQ52,Yes,0.77,1.402,2.3
V24DO9,Yes,0.54,-0.793,3
0LO7L8,Yes,0.68,1.094,2.7
VBIJWL,Yes,0.63,1.822,2.8
E1F94I,No,0.21,-1.757,8.6
SZ19J6,No,0.35,-0.262,8.2
184DDU,No,0.35,0.522,8.1
7KHNUM,No,0.23,0.532,8.7
QQM0FZ,No,0.11,0.116,9.1
JRLPML,No,0.42,2.032,8.2
WBACAR,No,0.30,-0.088,5.1
VT20ZE,Yes,0.65,0.804,2.3
DX106F,No,0.16,-0.892,8.2
UOT73L,Yes,0.66,1.258,2.5
TSDR6D,Yes,0.60,-1.124,3.2
EUMZM5,No,0.52,-0.795,7.5
VKEC25,No,0.36,0.064,7.9
AY6Y29,No,0.34,-0.396,7.2
Q0VKIP,No,0.40,-0.275,5.1
5AM9LX,No,0.41,0.447,7.7
375GVX,No,0.24,-0.518,6.8
9LC94O,Yes,0.55,-0.201,3.5
XFFDRD,Yes,0.85,-1.392,3.1
70Y3O5,Yes,0.75,1.105,4.3
F4FG1M,No,0.53,-0.694,7.6
H2WTYT,No,0.65,1.456,7.8
6Z61CY,No,0.44,0.037,7.1
7FFSR9,Yes,0.69,2.100,2.2
SHQYW4,No,0.52,-0.698,8
SU4WJV,No,0.50,0.848,7.6
S6DQUP,Yes,0.49,0.130,6.1
8Z7DCH,Yes,0.67,-0.253,3.1
CVF3CT,No,0.78,0.674,7.1
6DL3UX,No,0.58,-0.730,7.4
5UQOPG,Yes,0.86,-0.143,3.9
0X0U41,No,0.27,1.695,8.1
PTV4MO,No,0.35,-1.541,7.5
YEAZWQ,Yes,0.25,0.178,4.8
WJEVNB,Yes,0.63,0.111,1.2
RN5PPO,Yes,0.92,-1.200,2.2
ANR9BS,Yes,0.43,0.488,3.3
WNWWNO,Yes,0.76,1.527,2.8
P0PZ7I,Yes,0.92,0.341,2.2
IEMU52,No,0.61,-0.578,7.5
RD4091,No,0.48,-0.708,7.6
6Q8C79,No,0.33,-1.467,6.3
L2SKXI,Yes,0.62,0.581,2.3
T9OALF,No,0.50,1.667,6
U1MTQ3,Yes,0.77,-0.685,6.1
BFGPHY,Yes,0.65,-0.042,4.7
