Channel,Grocery,Frozen
2,0.3600,0.1042
2,0.1242,0.1619
2,0.2828,0.8366
2,0.1296,0.0848
2,0.0471,0.1388
2,0.2642,0.0502
2,0.3261,0.2507
2,0.4329,0.3838
1,1.2469,0.0902
2,0.6550,0.0909
1,0.5234,0.0417
2,0.3643,0.3045
1,0.6986,0.1455
1,0.9965,0.0934
2,0.2060,0.0264
1,0.6360,0.0824
1,2.0399,0.1809
1,0.9785,0.0364
1,1.3829,0.0492
1,2.4773,0.0617
1,0.8852,0.0799
1,2.1570,0.1840
2,0.2842,0.1149
2,0.3007,0.0416
1,1.3567,0.1465
2,0.2405,1.2569
2,0.8280,0.3046
1,1.9172,0.1274
2,0.2405,0.4447
2,0.7647,0.1483
1,1.1924,0.0662
2,0.2201,0.2679
2,0.6114,0.0978
2,0.3558,0.2121
1,1.7645,0.1128
2,0.2280,0.0514
2,0.5167,0.2714
2,0.3315,0.3703
2,1.1593,0.0915
2,0.2464,0.2369
2,1.3626,6.0869
2,0.1431,0.3498
2,0.1664,0.0414
2,0.3389,0.7849
2,0.4583,0.5127
2,0.5109,0.3570
1,2.6839,0.1234
2,0.1447,0.2208
1,6.7298,0.0131
1,0.2743,1.1559
1,1.0790,0.1365
2,0.1330,0.0650
2,0.2611,0.8170
2,0.7021,1.5601
2,0.5332,0.9584
1,0.9670,0.0388
1,1.1238,0.0767
2,0.5923,0.0349
1,2.6316,0.1456
2,0.1763,0.2234
2,0.8335,0.0402
1,1.5541,0.2693
1,1.2311,0.2809
2,0.2028,0.1341
1,2.0521,0.2005
2,0.1997,0.1796
1,2.2294,0.1741
2,0.1533,0.0830
1,2.1203,0.0228
2,0.2548,0.6386
2,0.2012,0.0245
2,0.0218,0.3157
1,2.2272,0.0137
2,0.1660,0.6114
2,0.2109,0.0340
2,0.2006,0.2601
2,0.0864,0.1206
2,0.2453,0.0560
2,0.4438,0.0191
2,0.1524,0.1103
1,0.8025,0.1619
2,0.1664,0.1173
2,0.0534,0.1457
2,0.2406,0.2046
2,0.0683,0.1089
1,0.4955,0.1364
2,0.1939,0.8164
2,0.1641,0.0876
1,0.7398,0.1504
2,0.1668,0.1492
2,0.1162,0.0597
1,1.3586,0.5641
2,0.2648,0.1034
2,0.1902,0.0282
1,1.0391,0.0130
2,0.2146,0.3881
2,0.1617,0.9927
2,0.8469,0.2540
2,0.3450,0.4006
2,1.5400,0.3635
2,0.1614,0.2583
2,0.2857,0.1945
2,0.1573,0.1960
2,0.1172,0.1677
2,0.1422,0.3019
2,0.1328,0.5502
2,0.2313,0.0907
2,0.3600,0.0659
2,0.3842,0.8620
2,0.3204,0.1398
2,0.1263,0.2921
1,0.9345,0.2644
2,0.1428,0.6838
2,0.0582,0.5390
2,0.0935,0.1601
2,0.1238,0.3576
2,0.2128,1.3223
2,0.5091,0.0220
2,0.4604,0.0127
2,0.3444,0.4324
2,0.1167,0.2069
2,0.5026,0.9806
1,1.8683,0.2854
1,0.6407,0.1646
2,0.6100,0.2349
2,0.4563,0.1389
2,0.3281,0.1535
2,1.2400,0.0098
2,0.6633,1.7866
2,0.3417,0.5679
1,0.8552,0.1691
1,1.0908,0.0848
2,1.1055,0.0364
1,1.8622,0.0133
2,0.2223,0.0633
2,1.3227,0.0025
1,0.9053,0.1031
2,0.4172,0.0830
1,0.4657,0.1059
1,1.2232,0.0874
2,0.2593,1.5348
2,1.4316,0.3141
2,0.5429,1.5082
2,0.4910,0.2198
2,0.3580,0.0047
2,1.6483,0.0575
2,0.5160,1.3486
2,0.4754,0.0269
2,0.1493,0.1541
2,0.7994,0.0688
2,1.6027,1.3135
2,0.0764,0.4510
1,3.0243,0.0437
2,0.2232,0.1038
2,0.2510,0.0065
