NCrashes,CPUSpeed,RAM,ModelYear,TotSysHours,SysHoursUpdate,Manufacturer,Role,Type,OS
5,2.00,4,2008,256,49,Dell,Lab,Laptop,Windows Vista
0,2.50,8,2016,213,45,Dell,Lab,Thinline Client,Windows 10
3,2.25,8,2015,146,53,Dell,Lab,Laptop,Windows Vista
9,2.50,8,2014,186,50,Dell,Lab,Laptop,Windows Vista
0,3.00,8,2014,234,52,Dell,Office,Thinline Client,Windows 10
4,3.00,4,2015,245,47,Dell,Lab,Laptop,Windows Vista
4,2.25,4,2014,329,50,HP,Office,Desktop,Linux
7,3.00,8,2008,265,47,HP,Lab,Laptop,Windows Vista
3,2.50,16,2015,231,56,HP,Lab,Laptop,Windows Vista
0,2.25,8,2013,250,40,Dell,Lab,Thinline Client,Windows 7
4,2.00,4,2008,198,51,Dell,Lab,Desktop,Linux
2,2.00,8,2016,225,59,Dell,Lab,Thinline Client,Windows 10
7,2.50,16,2012,250,50,Dell,Lab,Thinline Client,Windows 7
7,2.00,4,2016,195,48,HP,Lab,Laptop,Windows Vista
2,2.00,16,2016,262,49,Dell,Lab,Thinline Client,Windows 10
0,2.50,8,2015,183,55,HP,Office,Thinline Client,Windows 7
7,2.50,16,2011,204,47,HP,Lab,Thinline Client,Windows 7
3,2.50,8,2011,150,51,HP,Office,Laptop,Windows Vista
0,3.00,4,2012,243,40,HP,Office,Thinline Client,Windows 10
0,2.25,16,2014,216,53,Dell,Office,Desktop,Linux
6,2.50,16,2013,229,53,Dell,Office,Desktop,Windows 10
7,2.50,4,2009,273,57,Dell,Lab,Desktop,Windows 10
6,2.00,4,2009,295,48,Dell,Office,Thinline Client,Windows 10
7,2.50,16,2011,155,59,HP,Lab,Desktop,Linux
4,3.00,4,2011,198,48,HP,Lab,Desktop,Linux
8,2.25,16,2013,160,47,Dell,Office,Laptop,Windows Vista
0,2.50,8,2011,202,52,Dell,Office,Thinline Client,Windows 10
0,3.00,16,2008,123,51,Dell,Office,Desktop,Linux
6,3.00,4,2010,249,50,HP,Lab,Thinline Client,Windows 10
6,2.25,8,2014,285,56,HP,Office,Thinline Client,Windows 10
0,2.25,8,2015,116,45,Dell,Lab,Desktop,Windows 10
5,3.00,4,2009,244,46,HP,Office,Laptop,Windows 7
10,3.00,8,2007,211,57,HP,Lab,Laptop,Windows Vista
2,2.50,8,2009,148,51,Dell,Lab,Desktop,Windows 10
7,3.00,4,2010,207,54,HP,Lab,Desktop,Linux
1,2.00,8,2008,180,47,Dell,Lab,Thinline Client,Windows 10
0,2.50,8,2007,255,39,Dell,Lab,Desktop,Linux
4,3.00,16,2010,285,51,HP,Office,Desktop,Linux
1,2.25,16,2012,261,43,HP,Lab,Thinline Client,Windows 7
0,2.25,8,2009,78,48,HP,Office,Desktop,Linux
7,2.50,4,2010,230,54,Dell,Office,Thinline Client,Windows 10
3,2.50,4,2016,182,61,Dell,Lab,Laptop,Windows Vista
0,2.50,16,2014,209,43,HP,Lab,Thinline Client,Windows 7
3,2.25,16,2010,189,54,HP,Office,Desktop,Linux
0,2.50,16,2014,234,52,Dell,Office,Laptop,Windows 7
3,2.00,4,2016,278,56,Dell,Lab,Laptop,Windows 7
7,2.00,4,2013,108,48,HP,Lab,Laptop,Windows Vista
0,2.25,8,2007,127,37,HP,Lab,Thinline Client,Windows 10
3,3.00,4,2010,171,46,HP,Lab,Desktop,Windows 10
3,3.00,4,2010,208,44,HP,Lab,Laptop,Windows Vista
6,2.00,4,2008,215,47,Dell,Office,Laptop,Windows 7
6,3.00,4,2007,231,51,HP,Office,Laptop,Windows Vista
5,2.25,16,2013,163,50,HP,Lab,Thinline Client,Windows 7
3,2.00,8,2010,145,55,HP,Office,Desktop,Linux
4,2.50,16,2008,246,50,Dell,Lab,Desktop,Windows 10
0,2.00,4,2015,201,44,HP,Lab,Desktop,Windows 10
7,3.00,4,2013,274,52,HP,Lab,Desktop,Linux
2,2.25,4,2008,145,49,HP,Lab,Desktop,Linux
7,2.50,16,2012,295,55,Dell,Office,Laptop,Windows Vista
7,2.50,8,2012,226,43,HP,Lab,Thinline Client,Windows 10
2,2.25,8,2009,198,47,Dell,Office,Thinline Client,Windows 7
1,2.50,4,2010,174,50,HP,Lab,Desktop,Linux
6,3.00,16,2011,144,46,Dell,Lab,Laptop,Windows Vista
0,2.50,4,2011,248,41,Dell,Office,Thinline Client,Windows 10
2,2.00,4,2008,175,47,HP,Lab,Thinline Client,Windows 7
0,2.00,16,2011,129,50,HP,Office,Desktop,Linux
6,2.50,16,2009,267,51,Dell,Lab,Thinline Client,Windows 10
1,2.25,16,2015,198,46,HP,Office,Thinline Client,Windows 7
5,2.50,8,2007,167,45,Dell,Lab,Thinline Client,Windows 10
5,2.00,8,2007,211,49,HP,Office,Laptop,Windows Vista
4,3.00,4,2007,243,53,Dell,Lab,Thinline Client,Windows 7
1,2.25,16,2009,132,49,HP,Lab,Desktop,Linux
5,3.00,16,2014,158,55,HP,Lab,Desktop,Linux
4,2.25,16,2013,188,50,HP,Lab,Laptop,Windows Vista
0,2.00,8,2009,163,59,Dell,Lab,Thinline Client,Windows 7
7,2.50,16,2011,194,50,HP,Lab,Laptop,Windows Vista
7,3.00,4,2008,280,54,HP,Office,Laptop,Windows Vista
3,2.25,8,2014,251,54,HP,Lab,Laptop,Windows Vista
2,3.00,16,2014,227,45,HP,Lab,Thinline Client,Windows 10
3,2.25,4,2011,222,52,Dell,Lab,Desktop,Linux
1,2.00,8,2014,98,49,Dell,Office,Thinline Client,Windows 7
0,2.25,8,2014,106,48,Dell,Office,Thinline Client,Windows 7
4,2.00,4,2015,164,50,HP,Lab,Thinline Client,Windows 10
2,2.50,16,2016,147,49,HP,Lab,Laptop,Windows Vista
2,2.50,4,2013,229,56,Dell,Office,Desktop,Linux
7,3.00,4,2008,167,46,Dell,Lab,Thinline Client,Windows 7
0,2.25,4,2011,252,56,Dell,Office,Desktop,Linux
3,3.00,8,2012,120,39,Dell,Lab,Desktop,Linux
0,2.25,16,2007,142,60,HP,Lab,Laptop,Windows 7
2,2.50,8,2016,222,45,HP,Lab,Laptop,Windows Vista
0,2.50,8,2009,176,47,Dell,Office,Thinline Client,Windows 10
3,2.50,16,2013,320,51,Dell,Office,Desktop,Linux
7,2.25,8,2007,336,48,HP,Lab,Laptop,Windows 7
