SurveyScore,CPUSpeed,RAM,Harddrive,NUSB,Battery,ScreenRes,Bluetooth,TouchScreen,OS
38,3.00,16,0.5,3,60,1280,Yes,No,Chrome OS
38,2.75,16,0.5,8,48,1366,Yes,Yes,SkyOS
29,2.25,32,0.5,2,60,1366,No,Yes,SkyOS
39,3.00,16,2.0,4,48,1600,Yes,No,Windows
29,2.00,4,0.3,4,35,1024,Yes,Yes,Windows
42,2.75,8,1.0,4,60,1366,No,No,Linux
33,2.25,32,1.0,7,58,1366,Yes,Yes,SkyOS
38,2.50,4,0.3,4,48,1280,Yes,No,Windows
31,2.00,8,0.3,8,60,1024,No,No,Chrome OS
37,3.00,8,0.5,5,55,1366,No,No,Chrome OS
34,2.75,8,1.5,3,58,1024,Yes,Yes,SkyOS
35,2.25,32,0.3,4,48,1024,Yes,No,Windows
31,2.75,4,0.5,4,58,1280,No,Yes,SkyOS
38,2.50,32,0.5,2,50,1600,No,No,SkyOS
23,2.00,16,1.0,3,40,1024,No,Yes,Chrome OS
32,3.00,4,0.3,3,50,1024,No,No,Chrome OS
31,2.25,4,0.5,3,45,1024,No,No,Linux
31,2.25,4,1.0,8,40,1600,Yes,No,Chrome OS
28,2.50,8,0.3,6,55,1600,No,No,Chrome OS
