OrderID,Quantity,Price,Region,ProductType,BuyerType,ContractSize
ORD-7364,307.8,978.58,Southwest,Rebar,Distributor,Medium
ORD-2356,121.4,866.16,Southwest,Coil,Distributor,Medium
ORD-3765,368.6,875.74,West,Plate,Distributor,Small
ORD-9597,344.6,890.60,Midwest,Plate,Construction,Large
ORD-4843,495.9,824.11,Southwest,Structural,Construction,Large
ORD-9612,287.1,998.82,Northeast,Structural,Distributor,Small
ORD-7535,291.4,959.01,Midwest,Sheet,Manufacturer,Medium
ORD-9670,160.4,1325.54,Southwest,Coil,Automotive,Medium
ORD-9922,270.3,920.12,Southwest,Plate,Automotive,Large
ORD-1328,149.6,1314.77,West,Sheet,Distributor,Medium
ORD-3570,307.1,918.66,Southwest,Coil,Automotive,Large
ORD-3444,93.8,1213.78,Southwest,Plate,Automotive,Medium
ORD-7916,290.3,962.62,Midwest,Sheet,Manufacturer,Small
ORD-5878,207.3,1020.53,Midwest,Plate,Distributor,Medium
ORD-6689,194.3,1067.21,West,Structural,Construction,Large
ORD-4382,104.6,1109.15,Midwest,Plate,Distributor,Small
ORD-8335,653.4,1045.43,Southwest,Rebar,Manufacturer,Medium
ORD-8426,152.3,786.99,Southeast,Sheet,Automotive,Small
ORD-4139,213.0,917.58,West,Coil,Automotive,Medium
ORD-4416,146.6,1260.79,West,Rebar,Construction,Small
ORD-7749,202.9,1124.51,Northeast,Coil,Distributor,Medium
ORD-7810,363.5,831.71,West,Coil,Construction,Large
ORD-8902,215.9,1184.38,Northeast,Structural,Construction,Small
ORD-1121,184.6,988.19,Midwest,Structural,Construction,Medium
ORD-9793,289.7,877.59,Midwest,Coil,Automotive,Large
ORD-7187,339.3,845.82,Midwest,Sheet,Construction,Medium
ORD-9633,271.0,885.27,Northeast,Sheet,Manufacturer,Medium
ORD-5307,164.5,1213.15,West,Sheet,Automotive,Large
ORD-9993,140.3,1169.25,Northeast,Coil,Distributor,Small
ORD-9267,196.9,1151.06,Southwest,Plate,Automotive,Small
ORD-4885,546.3,787.21,Northeast,Structural,Construction,Large
ORD-7967,143.3,950.07,Midwest,Rebar,Manufacturer,Small
ORD-3291,264.3,862.70,Midwest,Structural,Construction,Small
ORD-5779,120.2,1180.35,West,Sheet,Distributor,Medium
ORD-6673,132.4,1190.38,Southwest,Plate,Distributor,Large
ORD-4822,211.2,785.68,Southwest,Coil,Automotive,Small
ORD-5833,172.8,1113.09,Midwest,Coil,Distributor,Medium
ORD-6265,278.4,1032.12,West,Sheet,Construction,Medium
ORD-7618,405.3,838.71,Southeast,Rebar,Automotive,Large
ORD-9332,308.6,1112.21,Southeast,Rebar,Distributor,Medium
ORD-8936,240.6,960.55,Midwest,Plate,Automotive,Medium
ORD-8612,267.7,985.18,Midwest,Sheet,Automotive,Small
ORD-7683,229.3,1122.57,Midwest,Sheet,Automotive,Small
ORD-6510,97.1,1050.80,Northeast,Coil,Manufacturer,Small
ORD-8007,184.1,986.60,Southwest,Structural,Manufacturer,Medium
ORD-4199,347.3,943.65,West,Rebar,Automotive,Medium
ORD-2275,119.4,1006.55,Midwest,Plate,Distributor,Small
ORD-1151,279.8,814.37,Northeast,Rebar,Automotive,Medium
ORD-5770,297.4,1190.28,Southwest,Rebar,Distributor,Large
ORD-9206,360.2,1119.78,West,Rebar,Construction,Large
ORD-9507,263.7,1046.41,Northeast,Rebar,Manufacturer,Medium
ORD-8800,119.4,1153.92,Northeast,Rebar,Construction,Small
ORD-2040,182.3,1028.41,Midwest,Structural,Manufacturer,Small
ORD-5856,250.6,1168.66,West,Sheet,Manufacturer,Medium
ORD-8448,214.2,903.63,West,Plate,Manufacturer,Small
ORD-8584,198.0,1147.53,Southeast,Coil,Construction,Medium
ORD-9849,126.5,1209.93,Northeast,Coil,Manufacturer,Small
ORD-9496,406.4,1101.54,Midwest,Plate,Distributor,Large
ORD-1912,302.5,937.72,Southwest,Structural,Distributor,Medium
ORD-5797,255.9,819.09,Northeast,Coil,Construction,Small
ORD-4251,478.1,1197.42,Midwest,Structural,Automotive,Large
ORD-5137,222.3,1036.01,Southeast,Plate,Automotive,Large
ORD-2292,190.2,1089.93,Midwest,Rebar,Distributor,Medium
ORD-6118,361.8,1144.41,Midwest,Sheet,Construction,Medium
ORD-8510,195.9,937.57,Southwest,Plate,Automotive,Medium
ORD-7943,148.8,949.70,Southwest,Coil,Distributor,Medium
ORD-8705,404.2,814.89,West,Structural,Distributor,Medium
ORD-1336,275.0,975.93,Northeast,Plate,Manufacturer,Medium
ORD-2681,126.4,849.60,Northeast,Sheet,Manufacturer,Small
ORD-2142,541.7,910.51,Midwest,Sheet,Automotive,Large
ORD-4719,306.9,1281.03,Southeast,Plate,Distributor,Large
ORD-5321,124.0,933.18,Northeast,Coil,Distributor,Small
ORD-2171,304.3,931.68,West,Structural,Construction,Medium
ORD-8294,214.4,896.34,Southwest,Rebar,Automotive,Medium
ORD-7886,284.8,915.65,Northeast,Structural,Distributor,Medium
ORD-6963,241.3,978.94,Northeast,Rebar,Construction,Small
ORD-5733,362.8,983.23,Southeast,Rebar,Automotive,Small
ORD-9616,258.4,1226.71,Midwest,Sheet,Automotive,Large
ORD-9678,432.0,1140.57,West,Rebar,Distributor,Large
ORD-7659,363.6,771.35,Midwest,Structural,Construction,Small
ORD-9280,166.4,1203.37,West,Sheet,Construction,Small
ORD-3452,247.3,1018.97,West,Sheet,Manufacturer,Large
ORD-3407,168.7,1132.80,Southwest,Structural,Distributor,Medium
ORD-5910,278.5,1076.85,Southwest,Coil,Distributor,Large
ORD-8961,325.8,1118.25,Southeast,Rebar,Manufacturer,Small
ORD-9721,299.2,976.23,Midwest,Sheet,Manufacturer,Small
ORD-7267,134.9,1179.42,Southwest,Sheet,Manufacturer,Large
ORD-5063,133.7,1130.19,Southwest,Structural,Automotive,Small
ORD-5598,214.1,1105.92,Southwest,Sheet,Construction,Medium
ORD-4411,268.7,852.24,Southwest,Rebar,Manufacturer,Medium
ORD-3326,175.4,1011.13,Southwest,Plate,Manufacturer,Small
ORD-9098,241.4,1005.58,Midwest,Rebar,Distributor,Medium
ORD-9371,262.2,810.94,Northeast,Structural,Automotive,Small
ORD-4299,152.2,1227.71,Midwest,Sheet,Automotive,Medium
ORD-3639,96.0,1232.84,Midwest,Coil,Distributor,Small
ORD-6448,307.5,1016.23,Southeast,Rebar,Construction,Large
ORD-4651,368.0,1166.84,Northeast,Structural,Automotive,Large
ORD-1409,256.7,978.27,Northeast,Rebar,Distributor,Large
ORD-2504,212.3,891.29,Northeast,Structural,Automotive,Medium
ORD-1545,215.2,868.34,Northeast,Coil,Automotive,Medium
ORD-6982,200.0,1234.68,Northeast,Rebar,Construction,Small
ORD-5901,315.9,1090.04,Northeast,Plate,Manufacturer,Small
ORD-4184,173.5,976.07,Midwest,Coil,Distributor,Large
ORD-1220,211.4,922.27,Southeast,Structural,Manufacturer,Medium
ORD-1933,625.9,1041.74,Southeast,Structural,Manufacturer,Medium
ORD-9816,139.8,1295.80,Southeast,Sheet,Manufacturer,Small
ORD-6220,237.5,1082.28,Southwest,Rebar,Automotive,Medium
ORD-8315,356.5,1059.32,West,Plate,Construction,Small
ORD-3354,192.3,1307.06,Southwest,Sheet,Construction,Medium
ORD-4178,134.6,1246.96,Southwest,Coil,Distributor,Medium
ORD-8121,162.6,989.03,Southwest,Structural,Automotive,Medium
ORD-2393,263.0,1033.66,Southwest,Sheet,Construction,Large
ORD-4638,399.5,1080.00,Midwest,Structural,Construction,Medium
ORD-4309,227.4,912.43,Midwest,Coil,Manufacturer,Large
ORD-5005,91.1,1358.16,Southeast,Structural,Automotive,Small
ORD-6991,131.8,1063.22,West,Coil,Automotive,Small
ORD-6203,175.6,1231.57,Southwest,Rebar,Distributor,Medium
ORD-3262,254.7,1072.35,Southeast,Rebar,Automotive,Large
ORD-8202,283.4,835.47,Midwest,Sheet,Construction,Small
ORD-1533,293.2,1012.58,Southeast,Sheet,Manufacturer,Large
ORD-7007,204.3,1222.50,Southwest,Sheet,Automotive,Medium
ORD-9819,455.2,1014.57,Southeast,Sheet,Automotive,Medium
ORD-3630,605.5,761.33,West,Rebar,Automotive,Medium
ORD-6151,168.4,1145.55,Southeast,Rebar,Distributor,Small
ORD-2776,247.3,947.00,Northeast,Structural,Construction,Medium
ORD-7220,297.9,1003.86,West,Sheet,Construction,Large
ORD-2895,144.1,1128.39,Southwest,Structural,Distributor,Large
ORD-1768,258.3,1127.88,Northeast,Sheet,Manufacturer,Medium
ORD-6659,182.5,1138.70,Northeast,Sheet,Manufacturer,Large
ORD-8753,427.9,1133.71,West,Structural,Construction,Medium
ORD-1719,129.4,843.00,Southwest,Coil,Construction,Small
ORD-4234,142.9,1291.69,Southeast,Coil,Manufacturer,Large
ORD-1519,229.9,1204.54,Northeast,Rebar,Distributor,Small
ORD-3397,479.6,1032.13,Southwest,Rebar,Construction,Large
ORD-5697,112.1,820.83,Northeast,Structural,Automotive,Medium
ORD-1157,249.2,1121.28,Northeast,Coil,Automotive,Medium
ORD-6526,127.9,978.58,Northeast,Plate,Distributor,Small
ORD-8925,259.3,1109.42,Southeast,Plate,Construction,Large
ORD-5634,126.0,1056.34,Northeast,Structural,Distributor,Small
ORD-4105,367.4,1077.18,West,Coil,Construction,Large
ORD-6935,142.3,1130.17,Midwest,Sheet,Construction,Small
ORD-2320,271.0,1116.99,Southeast,Structural,Automotive,Small
ORD-4788,467.7,821.98,West,Plate,Manufacturer,Small
ORD-5775,203.4,984.56,Northeast,Structural,Automotive,Large
ORD-5056,99.4,977.57,Southeast,Coil,Distributor,Small
ORD-9174,284.6,954.02,Northeast,Rebar,Manufacturer,Small
ORD-6117,318.3,836.05,Southeast,Plate,Construction,Small
ORD-2272,227.0,932.52,West,Coil,Manufacturer,Large
ORD-4701,528.6,783.87,Southwest,Rebar,Manufacturer,Medium
ORD-9170,148.1,1047.37,Southwest,Structural,Manufacturer,Medium
ORD-7503,408.3,959.57,West,Rebar,Construction,Small
ORD-2704,249.8,959.52,West,Structural,Construction,Medium
ORD-7260,220.2,898.67,Northeast,Structural,Distributor,Medium
ORD-7946,142.1,1163.03,Northeast,Sheet,Construction,Small
ORD-6528,295.3,977.35,Midwest,Sheet,Automotive,Large
ORD-5949,226.8,1068.76,Southwest,Sheet,Distributor,Medium
ORD-1820,493.2,1058.27,Southeast,Coil,Manufacturer,Large
ORD-3759,351.6,1249.43,Midwest,Structural,Automotive,Large
ORD-1185,365.6,992.25,West,Coil,Construction,Medium
ORD-6264,233.2,1137.38,Midwest,Rebar,Construction,Medium
ORD-1517,721.4,962.84,West,Coil,Automotive,Large
ORD-1923,233.0,936.26,Northeast,Plate,Distributor,Small
ORD-9761,327.6,887.27,West,Sheet,Automotive,Small
ORD-2645,278.6,1140.93,Southwest,Plate,Automotive,Large
ORD-3220,336.5,861.61,Midwest,Rebar,Automotive,Medium
ORD-5940,176.3,931.78,Southeast,Sheet,Distributor,Small
ORD-5869,251.9,1137.52,West,Rebar,Distributor,Small
ORD-8309,232.3,840.17,Southwest,Structural,Automotive,Small
ORD-7350,394.9,856.45,Midwest,Structural,Construction,Large
ORD-7470,254.9,1049.73,Southwest,Sheet,Distributor,Large
ORD-5239,270.1,969.34,Northeast,Structural,Distributor,Large
ORD-8078,235.5,957.81,Northeast,Plate,Construction,Medium
ORD-9014,259.3,934.28,Southwest,Plate,Manufacturer,Large
ORD-3660,198.3,912.81,Midwest,Sheet,Distributor,Small
ORD-7798,254.4,1084.43,Southwest,Sheet,Automotive,Medium
ORD-7156,167.2,950.28,Midwest,Plate,Construction,Large
ORD-3021,153.3,1154.48,Northeast,Coil,Manufacturer,Medium
ORD-9746,146.6,976.62,Southwest,Structural,Manufacturer,Small
ORD-2103,245.1,1173.37,West,Plate,Manufacturer,Large
