LOANID,DEFAULT,LATE,FICO,DTI,AGE,EMP_MONTHS,NUM_DEPENDENTS,OWNS_CAR,YEARS_EDUCATION,MARITAL
20214405043,No,No,773,0.29,28,71,2,Yes,15,Single
20217087933,No,No,809,0.431,33,93,0,Yes,13,Married
20213125757,No,No,737,0.372,41,191,1,Yes,15,Single
20215618998,No,No,565,0.334,36,86,2,Yes,15,Married
20211302444,No,No,667,0.458,49,182,0,Yes,17,Married
20219557779,No,No,769,0.401,57,17,0,No,13,Married
20219914765,No,No,752,0.224,55,16,2,Yes,15,Married
20210175970,No,No,756,0.098,51,132,1,Yes,14,Married
20216819976,Yes,Yes,651,0.445,37,119,0,Yes,14,Single
20211990053,No,No,732,0.286,43,6,0,No,18,Married
20211045620,No,No,687,0.324,21,36,1,Yes,10,Single
20217172327,No,Yes,656,0.384,56,39,0,No,19,Single
20212064067,No,No,590,0.421,44,148,1,Yes,12,Married
20216068133,No,Yes,615,0.343,38,141,0,Yes,12,Single
20216121152,No,Yes,660,0.367,70,50,1,No,13,Single
20216877956,No,No,719,0.26,51,71,1,Yes,17,Single
20214844200,No,No,759,0.398,40,202,4,Yes,18,Married
20210098037,No,No,575,0.313,24,33,1,Yes,17,Single
20215381349,No,No,706,0.287,38,157,2,No,15,Single
20214710583,No,Yes,614,0.215,40,82,2,Yes,14,Married
20214318447,Yes,Yes,579,0.488,34,0,0,Yes,14,Married
20214514684,No,No,711,0.341,37,106,0,Yes,17,Married
20219481894,No,No,725,0.433,46,55,2,Yes,16,Married
20217082392,No,No,652,0.38,51,57,2,Yes,15,Single
20212420486,No,No,767,0.31,57,72,3,Yes,19,Married
20212738020,No,No,683,0.258,67,95,1,Yes,11,Married
20216526372,No,No,804,0.275,37,58,2,Yes,17,Married
20219087503,No,No,839,0.362,49,114,1,Yes,12,Single
20219121210,No,No,850,0.426,49,137,0,Yes,15,Married
20214962516,No,No,722,0.201,34,192,0,Yes,14,Single
20210215311,No,No,751,0.098,47,75,1,Yes,18,Married
20219337650,Yes,Yes,593,0.379,48,126,0,No,19,Married
20215943117,Yes,Yes,665,0.265,47,11,0,No,15,Married
20211909420,Yes,No,617,0.186,38,127,0,Yes,17,Single
20214780142,No,No,738,0.453,60,38,4,Yes,16,Married
20211476437,No,No,715,0.326,62,50,0,Yes,10,Married
20217275298,No,No,803,0.507,48,50,2,Yes,10,Single
20215389491,No,Yes,701,0.355,49,100,2,Yes,17,Single
20218476137,No,No,704,0.324,46,75,5,Yes,16,Single
20214369491,No,No,722,0.245,50,0,0,No,12,Married
20218350954,No,No,776,0.249,61,67,1,Yes,11,Married
20212382780,No,No,737,0.371,51,94,1,Yes,13,Married
20213394733,No,Yes,630,0.393,32,0,2,Yes,14,Married
20214651417,Yes,Yes,594,0.364,39,121,1,Yes,12,Married
20214631239,Yes,Yes,508,0.344,33,0,0,Yes,15,Single
20219553991,No,No,715,0.367,34,192,0,Yes,16,Married
20210421360,No,Yes,676,0.344,48,165,4,Yes,13,Married
20217392022,No,No,758,0.375,48,122,0,Yes,13,Married
20210161339,Yes,Yes,547,0.33,35,147,3,Yes,13,Single
20214156707,No,No,745,0.448,26,96,0,Yes,13,Married
20212101162,No,Yes,621,0.271,41,32,1,Yes,14,Married
20216274856,No,Yes,602,0.271,61,41,0,No,16,Single
20219676496,Yes,No,568,0.328,37,97,4,Yes,17,Married
20212812671,Yes,Yes,655,0.356,30,73,1,Yes,13,Single
20216663294,No,No,715,0.307,50,50,1,Yes,19,Married
20210184362,No,Yes,711,0.347,51,146,0,Yes,14,Single
20210663002,No,No,580,0.149,50,67,2,Yes,17,Single
20216140384,No,Yes,559,0.317,37,33,0,Yes,17,Married
20217669630,Yes,Yes,591,0.448,26,84,2,Yes,20,Single
20212450255,No,No,669,0.309,53,59,1,Yes,12,Married
20218635232,Yes,Yes,682,0.47,42,87,0,Yes,11,Married
20211223566,Yes,Yes,583,0.26,42,49,1,No,18,Married
20215274123,Yes,Yes,543,0.415,51,28,2,Yes,16,Married
20217318638,Yes,Yes,673,0.313,28,120,2,Yes,13,Single
20218910341,No,No,701,0.297,43,182,1,Yes,14,Single
20212806851,No,Yes,632,0.323,61,0,2,Yes,11,Married
20217828939,No,No,569,0.407,48,128,1,No,17,Single
20219972629,Yes,No,643,0.326,49,4,3,Yes,14,Single
20214397303,No,No,677,0.408,49,94,0,No,12,Single
20216777087,No,Yes,628,0.404,39,0,0,Yes,15,Single
20213425611,Yes,Yes,568,0.325,42,70,0,Yes,15,Married
20210431899,No,No,704,0.42,63,107,0,Yes,18,Married
20214928853,Yes,Yes,587,0.483,31,68,0,No,10,Single
20213545367,Yes,Yes,532,0.32,47,49,0,No,10,Married
20210363572,No,No,709,0.31,50,134,0,Yes,12,Single
20211024457,Yes,Yes,626,0.183,23,0,0,Yes,13,Single
20217273622,No,No,688,0.364,31,155,3,Yes,14,Single
20210735062,Yes,Yes,597,0.326,44,110,4,Yes,14,Single
20217325220,No,No,601,0.46,41,72,1,No,10,Single
20213094260,No,No,737,0.285,26,32,1,Yes,13,Married
20210454064,No,No,604,0.363,33,83,5,Yes,14,Single
20218253994,No,Yes,586,0.346,27,104,0,No,12,Single
20215105507,No,No,712,0.472,75,38,3,Yes,11,Married
20216501553,No,No,738,0.44,35,66,3,Yes,13,Single
20215203250,Yes,No,705,0.463,38,0,0,Yes,12,Married
20214988357,No,No,758,0.383,41,168,1,Yes,10,Single
20210578196,Yes,Yes,567,0.384,29,14,1,Yes,13,Single
20211461378,No,No,751,0.302,26,77,2,Yes,15,Single
20214857077,Yes,Yes,568,0.398,49,63,1,Yes,17,Single
20210866619,No,No,733,0.182,47,78,4,Yes,16,Single
20217875013,No,No,640,0.305,43,88,0,No,10,Single
20214640384,Yes,No,651,0.505,33,101,0,No,10,Married
20217760914,No,No,676,0.211,44,0,0,Yes,19,Single
20211982541,No,No,850,0.223,41,0,5,No,17,Single
20210256146,No,No,652,0.263,40,28,3,No,10,Married
20217695745,No,No,850,0.192,63,62,1,Yes,11,Single
20215341405,No,No,724,0.322,58,164,0,Yes,13,Married
20213985772,No,No,699,0.389,46,86,0,Yes,11,Married
20211254054,Yes,No,595,0.235,50,151,2,No,15,Married
20216571307,No,No,670,0.436,21,36,1,Yes,13,Single
20212267688,No,No,711,0.333,46,0,2,Yes,13,Married
20219455627,No,No,850,0.368,34,118,1,Yes,14,Married
20217139570,Yes,No,654,0.346,69,0,0,Yes,17,Married
20210195148,No,No,719,0.474,50,81,1,Yes,15,Single
20217099231,No,No,760,0.2,32,129,2,Yes,17,Married
20216567302,No,No,627,0.444,41,101,2,Yes,11,Single
20217805574,No,Yes,661,0.175,47,37,4,Yes,15,Married
20215612683,No,Yes,611,0.412,31,73,0,Yes,11,Single
20211812605,No,Yes,688,0.338,45,73,0,Yes,15,Married
20210632482,No,No,733,0.386,45,31,0,Yes,17,Single
20214615211,No,No,793,0.306,67,114,4,Yes,12,Single
20219184857,No,No,768,0.236,37,145,0,Yes,15,Married
20212393981,No,No,595,0.414,42,66,0,Yes,14,Married
20215070911,Yes,Yes,642,0.429,38,0,0,Yes,17,Single
20212090750,Yes,Yes,553,0.21,35,106,2,Yes,13,Single
20214472617,No,No,686,0.323,44,91,4,Yes,12,Married
20215065635,No,No,786,0.439,36,0,1,Yes,18,Single
20217478023,No,No,764,0.237,21,36,1,Yes,11,Married
20219624645,No,No,799,0.305,52,119,4,No,17,Single
20216778278,No,No,631,0.365,43,143,2,Yes,15,Single
20217945396,No,No,685,0.401,22,48,1,Yes,14,Married
20212926084,Yes,Yes,595,0.494,29,92,1,Yes,18,Married
20214601408,No,No,527,0.396,26,0,2,Yes,14,Married
20210082778,No,No,694,0.279,46,80,3,Yes,14,Single
20218123022,No,No,789,0.158,68,165,0,Yes,13,Single
20215237689,No,No,765,0.358,46,56,2,No,14,Married
20217838045,Yes,Yes,567,0.365,42,62,0,Yes,16,Single
20212630394,No,No,732,0.348,43,87,1,Yes,12,Single
20214510730,No,No,701,0.268,56,64,0,Yes,14,Married
20219450541,Yes,Yes,564,0.26,56,0,2,Yes,16,Married
20216235850,No,No,635,0.245,26,96,2,No,15,Single
20215743457,Yes,No,727,0.342,36,96,0,No,10,Married
20217413741,No,No,785,0.298,46,73,5,No,13,Married
20219934100,Yes,No,665,0.313,68,28,3,Yes,17,Married
20217043172,No,No,715,0.251,56,12,0,No,17,Married
20212497213,No,No,697,0.338,39,3,0,Yes,11,Married
20219207231,No,No,643,0.388,62,26,0,No,15,Single
20216053905,No,No,695,0.492,40,0,0,Yes,14,Married
20219516605,Yes,No,572,0.438,53,46,1,No,10,Married
20213054995,No,Yes,603,0.252,24,61,2,Yes,13,Married
20219219710,No,Yes,630,0.189,28,107,3,No,12,Married
20215847476,Yes,No,542,0.297,33,0,2,Yes,10,Married
20218678699,No,Yes,630,0.368,74,70,0,Yes,14,Single
20211189529,No,Yes,653,0.358,41,120,0,Yes,10,Married
20210063192,No,No,640,0.328,41,57,1,No,17,Married
20213487769,No,Yes,683,0.327,22,48,0,No,11,Married
20219217930,No,Yes,624,0.267,30,36,4,Yes,12,Single
20217831257,No,No,761,0.316,31,122,1,Yes,10,Single
20216851915,No,No,727,0.362,42,131,0,Yes,17,Married
20217569052,Yes,Yes,628,0.372,49,56,2,No,13,Married
20212753316,Yes,No,609,0.26,42,130,1,Yes,19,Single
20214765667,No,No,645,0.44,57,3,0,Yes,20,Married
20219694265,Yes,Yes,527,0.347,25,55,2,Yes,14,Married
20216131359,No,No,751,0.209,48,164,1,No,13,Single
20210301997,No,No,722,0.361,50,54,1,Yes,12,Married
20216638964,No,No,654,0.405,47,52,1,Yes,13,Married
20218185126,No,No,714,0.358,58,139,1,Yes,16,Married
20211358106,No,Yes,567,0.316,27,70,0,Yes,11,Single
20217540825,No,No,724,0.346,22,48,1,Yes,12,Single
20215255515,No,No,710,0.377,37,0,0,Yes,17,Married
20210161685,No,No,698,0.193,51,46,0,Yes,17,Married
20218930286,Yes,No,642,0.373,45,38,4,Yes,11,Married
20212150774,No,No,850,0.29,35,50,0,Yes,15,Single
20215549911,Yes,Yes,642,0.378,43,4,2,Yes,16,Married
20216723645,No,No,669,0.346,43,79,3,No,12,Married
20217238785,No,No,635,0.294,33,69,3,Yes,10,Single
20210270414,No,Yes,714,0.274,58,68,2,Yes,11,Single
20213718057,No,No,772,0.372,48,146,2,Yes,16,Single
20219798208,No,No,850,0.368,36,76,5,Yes,12,Married
20216352427,No,No,739,0.411,40,20,3,No,19,Married
20216642353,Yes,No,614,0.308,36,83,2,Yes,20,Married
20216019066,No,Yes,640,0.362,50,93,0,Yes,12,Single
20218995574,No,No,671,0.385,51,105,4,Yes,16,Single
20210520408,No,Yes,653,0.218,39,18,0,Yes,15,Married
20214794260,No,No,675,0.315,26,96,1,Yes,18,Married
20210818192,No,No,702,0.353,44,109,0,Yes,14,Married
20211680416,Yes,Yes,672,0.353,26,17,2,Yes,12,Married
20218283596,No,Yes,580,0.547,52,15,1,No,20,Married
20215624353,Yes,Yes,494,0.342,21,4,1,No,15,Married
20217571282,No,No,700,0.314,21,13,1,No,12,Single
20219347642,No,No,686,0.406,56,115,0,Yes,14,Married
20210770683,Yes,Yes,607,0.47,52,38,1,Yes,17,Married
20213134556,Yes,No,596,0.329,21,36,1,No,13,Single
20218093834,No,No,722,0.284,38,56,0,Yes,14,Married
20216702644,Yes,Yes,632,0.36,66,89,0,No,12,Married
20218106451,No,No,777,0.224,32,86,4,No,14,Married
20216902584,Yes,No,645,0.355,21,36,1,No,12,Single
20216638942,Yes,No,633,0.368,41,81,1,No,12,Married
20216755182,No,Yes,749,0.342,63,0,5,No,13,Single
20216765503,No,Yes,613,0.348,49,116,2,No,10,Single
20218744899,Yes,No,666,0.383,39,134,2,Yes,10,Married
20218753244,Yes,Yes,597,0.557,21,16,1,Yes,12,Married
20210529253,No,Yes,619,0.475,62,181,2,Yes,15,Married
20212110425,No,Yes,531,0.342,64,68,2,Yes,16,Married
20210586135,No,Yes,682,0.195,55,0,0,Yes,11,Single
20214055229,No,No,654,0.344,54,106,0,Yes,15,Married
20215603152,No,No,702,0.373,28,97,3,Yes,16,Married
20212623131,No,No,726,0.44,54,85,0,Yes,16,Married
20219438974,No,No,679,0.398,28,57,0,No,15,Single
20216186621,No,No,763,0.328,57,43,1,Yes,14,Married
20216101082,No,Yes,782,0.276,47,11,2,No,16,Single
20212474626,No,No,656,0.338,65,0,1,Yes,10,Married
20212805203,No,No,757,0.294,56,78,0,Yes,13,Married
20212996913,No,No,702,0.422,64,59,1,No,14,Single
20212507913,No,No,831,0.192,49,94,0,Yes,15,Married
20210908070,No,No,715,0.252,35,96,1,No,14,Single
20213847671,No,Yes,576,0.266,21,36,0,Yes,15,Married
20212733409,No,No,632,0.434,51,77,0,Yes,15,Married
20218477891,No,Yes,638,0.226,53,67,0,Yes,11,Married
20217296616,No,No,732,0.371,44,61,1,Yes,15,Married
20218335015,No,No,602,0.348,24,56,1,Yes,17,Married
20214227478,No,No,780,0.35,34,60,0,Yes,13,Single
20210838209,No,No,585,0.267,23,45,1,No,15,Married
20217496072,No,No,599,0.26,35,0,0,Yes,16,Married
20211213669,No,Yes,679,0.448,44,181,1,Yes,12,Single
20213014538,No,No,755,0.364,38,22,1,No,14,Married
20219281430,No,No,685,0.26,27,0,0,Yes,12,Single
20210507594,Yes,No,582,0.392,60,31,4,No,13,Single
20219524739,Yes,Yes,625,0.462,53,10,2,Yes,13,Married
20217865341,No,Yes,661,0.27,50,215,1,Yes,12,Married
20217172588,No,No,668,0.306,37,124,0,No,14,Married
20215452894,No,Yes,638,0.455,53,165,2,Yes,10,Married
20215778561,Yes,No,632,0.461,42,95,1,Yes,15,Married
20211087832,No,No,715,0.319,57,0,2,Yes,15,Single
20214081405,Yes,Yes,454,0.247,56,0,4,Yes,14,Single
20219388335,No,No,762,0.23,36,14,2,Yes,15,Married
20211931373,No,Yes,624,0.321,52,91,0,Yes,13,Single
20219443466,No,No,730,0.443,27,42,0,Yes,15,Single
20210445169,No,No,787,0.173,34,145,0,Yes,14,Married
20213281234,No,Yes,647,0.447,32,84,0,Yes,15,Married
20217587619,No,Yes,656,0.451,50,104,1,Yes,17,Married
20211161806,No,No,680,0.357,50,74,2,No,17,Single
20210696438,Yes,Yes,652,0.386,31,0,3,Yes,13,Married
20211843229,No,No,684,0.227,40,9,3,No,13,Single
20216199912,No,Yes,669,0.369,41,60,0,Yes,18,Single
20214602796,No,No,708,0.209,46,126,2,Yes,17,Married
20216019785,No,No,801,0.217,38,26,2,Yes,17,Married
20211853386,Yes,Yes,706,0.322,36,103,0,No,17,Single
20214092133,No,Yes,698,0.45,35,130,0,No,11,Married
20215591008,Yes,Yes,442,0.214,36,61,2,Yes,15,Married
20219885922,Yes,Yes,568,0.274,34,46,1,Yes,12,Married
20211148775,No,No,744,0.349,37,120,2,No,12,Married
20217638707,No,No,609,0.378,26,41,2,No,20,Married
20218380407,Yes,Yes,560,0.387,48,119,2,Yes,13,Single
20211275361,No,No,664,0.369,32,75,0,No,12,Married
20215592035,No,No,764,0.258,43,2,1,Yes,13,Single
20212689023,No,No,669,0.401,40,36,3,Yes,11,Single
20213720392,No,Yes,668,0.173,54,68,0,No,15,Married
20211007926,No,No,645,0.282,51,78,1,Yes,17,Single
20216352898,No,No,736,0.247,33,95,3,Yes,16,Single
20216839064,No,No,760,0.262,66,69,1,Yes,18,Married
20214684652,No,No,709,0.257,21,0,1,Yes,15,Single
20213763424,No,No,718,0.225,49,33,1,Yes,15,Single
20214195623,Yes,Yes,629,0.374,21,36,1,No,13,Single
20215886920,No,Yes,555,0.328,48,8,0,No,16,Single
20215270010,No,Yes,775,0.356,62,130,0,Yes,10,Single
20218311132,No,Yes,702,0.421,38,187,2,Yes,17,Married
20214178337,No,No,703,0.169,44,95,0,No,13,Married
20218821899,Yes,No,723,0.347,62,100,2,Yes,17,Married
20216685154,No,No,768,0.365,46,194,1,Yes,16,Single
20213747543,No,No,680,0.323,39,29,0,Yes,15,Married
20218448358,No,No,747,0.471,35,142,1,Yes,15,Single
20213512002,No,No,707,0.27,75,74,0,No,10,Single
20211902084,No,No,599,0.388,39,25,0,No,14,Married
20210682426,No,No,760,0.276,50,177,1,Yes,16,Single
20212396438,Yes,Yes,482,0.505,21,36,1,Yes,15,Married
20214696212,No,Yes,608,0.314,38,51,1,Yes,19,Single
20215187559,No,No,705,0.194,70,168,0,Yes,10,Single
20218699837,No,No,738,0.342,36,103,1,Yes,10,Single
20215559300,No,No,654,0.251,43,99,0,Yes,15,Single
20219482950,No,No,706,0.411,33,180,3,No,14,Married
20210206354,No,No,674,0.423,21,36,1,Yes,15,Married
20216663737,No,No,787,0.385,39,6,1,Yes,15,Single
20217556938,No,No,815,0.288,53,76,0,No,13,Single
20217408845,No,No,712,0.37,45,78,5,Yes,12,Single
20210021444,No,No,808,0.261,58,132,1,No,16,Married
20214868421,No,No,771,0.352,50,190,1,Yes,13,Married
20218015612,Yes,No,651,0.438,46,88,3,Yes,15,Single
20211285111,No,Yes,621,0.455,35,99,0,Yes,13,Married
20218341736,Yes,Yes,600,0.348,41,69,0,Yes,13,Single
20214136979,No,Yes,625,0.47,38,15,0,No,10,Single
20217061039,No,No,710,0.325,41,62,1,Yes,18,Single
20212238347,No,No,842,0.402,50,148,4,Yes,14,Single
20216728007,No,No,650,0.287,37,174,4,No,17,Single
20214103046,No,Yes,597,0.224,37,0,1,Yes,15,Single
20219496639,No,No,800,0.307,39,94,1,No,12,Single
20217414673,No,No,727,0.285,32,66,1,Yes,14,Married
20214156705,No,No,767,0.346,32,49,1,No,16,Single
20216310493,Yes,Yes,532,0.465,42,26,0,Yes,20,Single
20214833926,No,Yes,634,0.316,35,68,1,Yes,15,Married
20213430164,No,No,693,0.31,47,0,2,No,11,Married
20218337926,Yes,No,697,0.502,57,43,1,Yes,13,Single
20215100517,Yes,Yes,652,0.482,40,48,3,Yes,10,Married
20216285467,No,No,719,0.361,50,83,3,Yes,15,Married
20214170546,Yes,Yes,528,0.422,40,17,0,Yes,13,Single
20215341200,No,No,640,0.412,52,43,1,Yes,19,Married
20214478274,No,No,731,0.426,37,57,1,Yes,14,Married
20214324400,Yes,No,590,0.329,57,26,1,No,14,Married
20211725395,No,No,797,0.316,56,38,1,Yes,15,Married
20213780532,Yes,No,604,0.422,46,60,2,Yes,16,Single
20210731756,No,Yes,681,0.322,36,172,3,Yes,11,Single
20210640727,No,Yes,583,0.41,31,156,0,Yes,14,Married
20217424220,No,No,767,0.39,47,74,3,No,16,Married
20213569176,No,No,786,0.238,32,76,2,No,15,Single
20211590138,No,No,715,0.289,44,9,0,Yes,15,Single
20211008625,No,No,658,0.354,32,168,0,No,11,Single
20218160450,No,No,758,0.303,48,70,0,Yes,15,Single
20214789227,No,No,796,0.438,39,124,1,Yes,18,Married
20216032119,No,No,630,0.37,21,36,1,Yes,11,Single
20217145444,No,Yes,659,0.297,30,42,3,Yes,11,Single
20219626447,No,No,838,0.42,44,36,1,No,17,Single
20214666644,No,No,690,0.237,40,106,0,Yes,15,Married
20214826796,No,No,701,0.324,47,93,3,Yes,15,Married
20212064154,No,No,771,0.308,51,20,1,Yes,11,Single
20211803086,No,No,744,0.342,35,26,0,Yes,19,Single
20217598391,No,No,764,0.46,40,58,1,No,12,Single
20211192611,No,No,645,0.368,48,30,0,Yes,14,Married
20217442500,No,No,663,0.369,39,42,1,Yes,15,Single
20216247754,Yes,No,589,0.335,44,91,0,Yes,11,Married
20212407391,No,No,712,0.39,31,25,1,No,16,Married
20219646130,No,No,665,0.394,44,108,0,Yes,16,Married
20213893981,No,No,651,0.253,46,91,2,No,16,Single
20214199349,Yes,Yes,625,0.423,31,38,4,Yes,16,Married
20213572670,No,Yes,617,0.246,48,61,1,Yes,18,Married
20216808307,No,No,680,0.33,32,132,1,Yes,16,Single
20212426232,No,No,673,0.333,63,88,2,Yes,14,Single
20211889935,No,Yes,601,0.235,41,86,2,Yes,13,Single
20217504575,No,No,733,0.201,53,94,1,Yes,12,Single
20211103880,No,Yes,619,0.353,45,121,0,Yes,14,Single
20213097903,No,No,664,0.266,29,132,0,Yes,16,Single
20211705042,No,No,598,0.347,59,78,2,Yes,12,Married
20215720962,No,Yes,645,0.476,41,36,0,Yes,12,Married
20216906800,No,No,723,0.289,46,89,0,No,17,Single
20213166494,No,No,677,0.437,21,36,1,Yes,15,Single
20217459253,No,No,675,0.311,45,173,2,Yes,12,Single
20216172146,No,No,705,0.139,68,14,1,Yes,14,Married
20211908899,No,Yes,662,0.298,35,178,0,Yes,13,Married
20215577050,No,No,750,0.213,53,111,0,Yes,12,Married
20210066472,No,Yes,668,0.268,38,6,0,No,17,Married
20211061662,No,No,810,0.331,41,96,0,Yes,13,Married
20219283202,Yes,Yes,604,0.274,51,0,0,Yes,15,Single
20216990841,No,No,632,0.24,23,60,1,Yes,17,Married
20216676012,No,No,752,0.337,31,54,0,Yes,17,Married
20213145971,No,Yes,664,0.509,34,13,0,Yes,16,Single
20218792521,No,No,711,0.274,51,103,1,Yes,10,Married
20212918425,No,No,676,0.331,55,121,0,Yes,16,Single
20211194054,No,No,812,0.423,31,73,1,Yes,16,Married
20212085234,Yes,Yes,536,0.5,50,33,5,Yes,15,Married
20217611400,No,No,707,0.2,41,100,2,Yes,13,Single
20213392988,Yes,Yes,664,0.197,40,118,2,Yes,18,Single
20216257309,No,No,850,0.398,25,51,0,Yes,14,Married
20215293357,No,No,799,0.21,55,47,3,Yes,15,Married
20214725659,No,No,626,0.145,29,85,0,Yes,16,Married
20211499455,No,No,756,0.282,56,87,0,Yes,17,Single
20216523621,No,Yes,581,0.464,21,36,1,No,15,Married
20210926515,No,No,696,0.4,40,36,2,Yes,10,Married
20219968387,No,No,667,0.257,25,11,2,Yes,18,Married
20217177759,Yes,Yes,499,0.329,47,51,0,No,15,Married
20213217320,Yes,No,628,0.473,51,0,0,Yes,12,Married
20219700401,Yes,Yes,629,0.277,41,0,0,No,18,Married
20217569434,No,No,704,0.328,24,72,0,Yes,11,Single
20214278399,No,No,652,0.358,47,84,1,No,16,Married
20217109587,No,Yes,786,0.312,23,60,1,Yes,15,Single
20216777800,Yes,No,788,0.248,21,36,1,Yes,11,Single
20215840154,Yes,Yes,628,0.347,48,1,1,Yes,18,Married
20216735301,No,No,638,0.217,25,84,0,Yes,16,Married
20212030097,No,No,807,0.185,44,51,3,Yes,17,Married
20210848312,Yes,Yes,524,0.317,22,32,0,Yes,16,Single
20215109165,No,No,760,0.194,22,48,0,Yes,15,Single
20213245886,No,No,798,0.323,38,38,0,Yes,18,Single
20210068801,No,Yes,579,0.38,41,65,4,Yes,11,Married
20211890154,No,No,795,0.285,35,8,3,Yes,16,Married
20215449169,Yes,No,665,0.356,24,72,2,No,12,Single
20213910752,No,No,687,0.367,25,59,0,Yes,12,Single
20210983867,No,No,737,0.264,26,96,1,No,14,Single
20219133228,Yes,Yes,621,0.361,44,77,2,Yes,16,Married
20219161188,No,Yes,724,0.321,31,111,3,Yes,11,Married
20213960546,No,Yes,556,0.319,49,5,0,Yes,15,Married
20214366583,No,Yes,634,0.127,51,120,3,No,12,Single
20216706140,No,Yes,728,0.505,51,86,2,Yes,14,Single
20211857155,No,No,721,0.259,64,97,2,No,13,Married
20213774151,No,No,723,0.264,35,46,0,Yes,13,Single
20210092396,No,Yes,575,0.376,38,88,3,No,12,Married
20217119004,No,Yes,661,0.309,27,38,2,No,14,Single
20216900743,Yes,Yes,575,0.333,25,8,2,Yes,15,Married
20215817329,No,No,661,0.263,21,36,1,Yes,11,Single
20210470740,No,Yes,621,0.256,34,47,1,Yes,14,Single
20219354806,No,Yes,641,0.341,36,39,2,Yes,14,Single
20212851444,Yes,Yes,577,0.19,45,0,1,Yes,16,Married
20218775818,No,No,667,0.345,43,98,0,Yes,14,Married
20214763083,Yes,Yes,612,0.337,21,36,1,Yes,12,Single
20213643312,No,No,769,0.442,26,72,1,Yes,15,Single
20213010531,No,No,673,0.367,21,36,0,Yes,14,Married
20213926911,Yes,No,592,0.412,37,58,3,Yes,15,Married
20215871854,No,No,685,0.327,33,16,0,Yes,10,Married
20217980050,No,No,811,0.384,49,113,0,No,13,Married
20213384985,Yes,No,683,0.322,21,36,1,Yes,13,Single
20211384693,No,No,725,0.455,21,0,1,Yes,14,Married
20219545217,Yes,Yes,619,0.389,41,20,0,Yes,11,Married
20216091969,No,No,681,0.255,69,51,0,Yes,13,Married
20217365735,No,No,740,0.368,58,0,3,No,11,Single
20214407542,Yes,No,663,0.284,28,22,0,Yes,18,Married
20212489843,No,No,705,0.345,38,147,0,No,16,Married
20213805574,No,No,620,0.272,25,54,2,No,14,Single
20214746454,No,Yes,663,0.204,40,46,2,No,14,Single
20215489832,No,No,850,0.207,31,126,2,Yes,18,Married
20215523222,No,No,684,0.323,37,114,2,Yes,16,Married
