SALES,ADV,BONUS,MKTSHR,COMPET
1359.37,566.86,279.9,28.92,239.33
877.16,373.21,251.47,23.98,312.41
1597.14,597.93,290.9,29.61,412.99
1454.28,589.58,274.7,31.05,412.14
1369.48,532.76,291.43,29.59,265.67
1507.63,544.98,323.16,28.48,313.14
1072.74,498.44,263.85,22.95,312.24
823.8,371.81,230.67,34.06,304.37
1148.49,538.57,207.9,24.18,417.1
1346.96,543.2,265.54,28.59,291.89
1412.33,540.87,293.85,21.38,406.16
1372.84,554.64,269.32,38.33,252.08
1485.88,484.99,300.53,27.41,342.36
1638.24,597.92,309.73,27.47,405.12
1306.51,542.0,275.84,31.88,314.07
1429.46,503.17,326.66,29.99,241.57
840.4,390.34,244.88,30.8,325.02
1652.42,613.94,329.61,35.63,417.47
1521.74,648.31,302.37,31.48,429.22
1168.42,508.51,261.29,26.71,313.55
955.13,430.7,306.31,23.22,316.26
1080.72,431.38,256.88,32.36,252.95
982.7,439.29,226.01,27.88,294.75
1542.49,639.95,285.29,37.89,284.13
1332.97,568.07,261.76,32.03,287.86
1298.28,540.94,287.5,18.92,396.43
1333.04,420.16,289.4,28.96,277.46
1118.94,452.03,265.06,23.07,276.3
1483.76,647.92,260.69,29.9,416.3
1408.28,543.98,304.57,27.55,331.72
1372.03,492.8,216.34,34.24,272.83
1508.71,605.2,271.96,35.27,267.46
1150.93,452.54,290.67,31.53,319.54
1260.83,534.33,264.43,32.97,392.1
1542.97,647.1,296.38,25.66,281.2
1084.34,483.45,279.19,31.56,350.61
1419.85,583.77,289.07,21.11,444.48
1558.05,635.77,246.83,28.2,285.74
1108.52,455.92,272.1,21.62,336.92
1382.25,518.8,290.67,26.33,295.55
1647.14,604.62,329.18,36.12,322.02
1138.85,454.24,270.97,30.68,216.01
1028.7,403.46,239.29,31.8,239.87
1460.4,588.22,291.9,31.68,299.26
1170.14,462.5,278.18,21.45,288.06
914.85,426.27,256.23,34.49,308.76
1237.94,519.14,252.62,29.47,370.35
1543.13,584.13,269.81,31.48,330.92
1473.2,645.31,304.11,28.19,385.17
1206.85,439.9,308.09,28.73,289.1
1269.76,521.41,280.55,29.39,293.48
870.82,446.84,220.01,32.5,262.32
1079.29,443.03,284.67,27.09,299.39
1248.75,486.51,286.46,28.53,221.26
1439.54,586.4,294.17,36.3,293.95
934.91,385.93,307.97,27.32,272.07
1305.07,485.21,275.27,30.05,291.06
1661.35,631.59,321.33,27.4,438.44
1064.94,510.5,257.04,23.66,324.04
1060.54,484.16,246.47,28.39,246.15
949.44,402.79,273.39,32.5,210.69
1613.16,620.77,297.49,28.17,468.06
1433.38,588.8,303.88,32.78,239.8
1518.56,567.97,314.83,31.07,316.77
1279.77,518.68,286.64,26.53,334.44
1254.89,454.46,261.97,23.33,341.92
1149.84,435.6,296.36,24.12,363.39
1357.39,583.31,285.01,27.78,359.05
1139.06,525.16,279.14,24.25,298.02
1300.31,512.4,293.54,31.13,179.47
1495.4,568.94,270.93,29.34,247.49
1307.05,544.23,290.14,29.68,288.93
